"personId","tpp","ftp","fgp","ppg","rpg","apg","bpg","mpg","spg","assists","blocks","steals","turnovers","offReb","defReb","totReb","fgm","fga","tpm","tpa","ftm","fta","pFouls","points","gamesPlayed","gamesStarted","plusMinus","min","dd2","td3"
202684,25.7,61.0,51.9,9.4,8.7,1.0,0.7,27.8,0.5,660,460,330,753,2228,3467,5695,2463,4747,9,35,1190,1951,1513,6125,655,460,-859,18183,183,0
202685,34.6,77.9,56.2,12.7,9.1,1.0,1.0,25.5,0.4,594,612,238,936,1637,3818,5455,3017,5373,88,254,1469,1886,1675,7591,599,570,535,15253,219,1
202687,0.0,57.1,52.4,5.2,6.2,0.6,1.3,20.3,0.2,396,904,171,624,1345,2857,4202,1332,2541,0,3,846,1482,1514,3510,680,296,-2009,13821,57,0
202689,36.0,84.0,41.8,19.8,3.8,5.4,0.4,33.7,1.3,3711,270,881,1497,393,2244,2637,4722,11307,1545,4296,2696,3208,1042,13685,690,645,-99,23248,46,2
202691,41.9,84.8,45.9,19.5,3.5,2.3,0.5,33.1,0.9,1416,332,561,1053,273,1857,2130,4512,9822,1798,4290,1173,1384,1313,11995,615,578,3670,20338,4,0
202692,37.0,79.4,42.2,10.5,3.3,1.9,0.2,22.1,0.7,997,102,349,665,321,1426,1747,1895,4490,478,1293,1283,1615,940,5551,531,91,-797,11754,6,0
202693,34.5,77.7,44.7,11.1,5.3,1.6,0.5,25.1,0.8,1101,362,561,1045,835,2756,3591,2910,6503,577,1671,1164,1499,1901,7561,679,366,-386,17022,47,0
202694,37.4,76.3,43.3,12.1,4.6,1.5,0.3,26.9,0.7,955,181,444,760,613,2353,2966,2849,6581,989,2642,1108,1453,1391,7795,644,363,193,17321,24,0
202695,38.3,85.6,49.3,19.2,6.4,2.8,0.6,31.3,1.8,1598,364,1004,904,681,2923,3604,3897,7902,841,2197,2196,2564,971,10831,564,537,3546,17631,84,1
202696,35.3,75.4,49.7,16.7,10.3,2.7,0.9,30.5,0.9,1711,586,559,1115,1692,4963,6655,4647,9341,397,1125,1081,1433,1594,10772,645,584,-1098,19696,357,3
202699,36.7,82.5,47.4,16.2,6.2,2.1,0.5,31.0,0.8,1409,337,494,935,664,3396,4060,4078,8600,881,2400,1678,2033,1323,10715,660,540,-376,20487,83,0
202704,34.4,85.5,42.9,12.6,2.9,4.3,0.1,24.9,0.7,2593,69,416,1128,319,1461,1780,2843,6627,730,2125,1228,1437,1182,7644,607,374,751,15102,31,2
202709,33.1,77.2,44.1,6.9,2.6,2.9,0.2,21.9,0.8,1864,142,504,654,333,1331,1664,1741,3948,326,984,649,841,1014,4457,648,123,355,14159,3,0
202710,32.7,83.6,45.6,17.3,5.2,3.9,0.5,33.1,1.6,2392,291,988,966,942,2273,3215,3442,7552,517,1579,3191,3817,884,10592,614,509,1635,20298,68,11
202711,39.3,86.0,45.5,14.3,3.5,1.5,0.1,28.7,0.6,780,39,279,790,249,1538,1787,2529,5554,987,2513,1215,1413,824,7260,509,392,-39,14586,1,0
202722,40.6,85.0,43.3,8.3,2.8,1.1,0.4,19.3,0.4,342,130,139,191,113,748,861,845,1951,605,1489,283,333,526,2578,309,35,440,5972,1,0
202734,38.8,73.9,45.4,7.9,2.0,1.8,0.2,21.0,0.7,1050,130,394,529,281,924,1205,1915,4217,553,1426,329,445,945,4712,595,191,-442,12523,1,0
202954,32.7,90.9,42.7,5.5,1.7,2.3,0.2,15.9,0.7,334,22,99,133,33,218,251,273,640,66,202,200,220,223,812,147,1,187,2340,0,0
203076,31.7,79.9,51.6,23.9,10.3,2.3,2.4,34.5,1.4,1252,1305,761,1068,1397,4278,5675,4908,9509,270,852,3109,3889,1304,13195,551,546,651,18993,307,1
