"Combined_Key","Last_Update","Confirmed","Deaths","Recovered","Incident_Rate","Case_Fatality_Ratio"
"Utrecht, Netherlands","2021-04-01 04:27:05",99561,1190,0,7348.575545048323,1.1952471349223088
"Zeeland, Netherlands","2021-04-01 04:27:05",20788,222,0,5420.769359145526,1.0679238021935733
"Zuid-Holland, Netherlands","2021-04-01 04:27:05",300189,3994,0,8094.192675808426,1.330495121406847
New Zealand,"2021-04-01 04:27:05",2501,26,2408,51.86393938243963,1.0395841663334666
Nicaragua,"2021-04-01 04:27:05",6677,178,4225,100.7916910330869,2.665867904747641
Niger,"2021-04-01 04:27:05",5001,186,4590,20.65962407994237,3.719256148770246
Nigeria,"2021-04-01 04:27:05",162891,2057,151648,79.0197566467425,1.2628076443756868
North Macedonia,"2021-04-01 04:27:05",130022,3781,106979,6240.9162034770425,2.9079694205595974
Norway,"2021-04-01 04:27:05",96079,673,17998,1772.2691589860776,0.7004652421444852
Oman,"2021-04-01 04:27:05",159218,1678,143966,3117.8732242174965,1.0539009408483966
"Azad Jammu and Kashmir, Pakistan","2021-04-01 04:27:05",12805,355,10945,316.53501809230613,2.772354549004296
"Balochistan, Pakistan","2021-04-01 04:27:05",19576,208,19106,158.58192632647916,1.0625255414793624
"Gilgit-Baltistan, Pakistan","2021-04-01 04:27:05",5033,103,4867,496.5547996022037,2.046493145241407
"Islamabad, Pakistan","2021-04-01 04:27:05",58557,572,47584,2918.2605956825873,0.976825998599655
"Khyber Pakhtunkhwa, Pakistan","2021-04-01 04:27:05",88099,2363,76640,288.62801556223917,2.682209786717216
"Punjab, Pakistan","2021-04-01 04:27:05",223181,6427,189856,202.86887186814744,2.8797254246553248
"Sindh, Pakistan","2021-04-01 04:27:05",265680,4502,256276,554.8171011219948,1.6945197229750075
Panama,"2021-04-01 04:27:05",355051,6114,343904,8228.739065460763,1.7220061343299975
Papua New Guinea,"2021-04-01 04:27:05",5991,60,846,66.9607904391034,1.0015022533800702
Paraguay,"2021-04-01 04:27:05",214667,4206,175614,3009.689408947457,1.9593137277737147
"Amazonas, Peru","2021-04-01 04:27:05",23141,365,0,5421.9775070290525,1.5772870662460567
"Ancash, Peru","2021-04-01 04:27:05",50871,2111,0,4308.910723361003,4.149712016669615
"Apurimac, Peru","2021-04-01 04:27:05",13616,326,0,3161.3652194102624,2.3942420681551115
"Arequipa, Peru","2021-04-01 04:27:05",65386,2142,0,4366.635501535996,3.2759306273514213
"Ayacucho, Peru","2021-04-01 04:27:05",22904,605,0,3427.7162526189763,2.6414600069856795
"Cajamarca, Peru","2021-04-01 04:27:05",40289,911,0,2771.4796725596752,2.2611630966268708
"Callao, Peru","2021-04-01 04:27:05",71037,2757,0,6287.01655013718,3.881076058955193
"Cusco, Peru","2021-04-01 04:27:05",43298,856,0,3190.479699358927,1.9769966280197702
"Huancavelica, Peru","2021-04-01 04:27:05",10801,278,0,2956.747878456063,2.5738357559485228
"Huanuco, Peru","2021-04-01 04:27:05",26786,821,0,3523.0829935551756,3.0650339729709555
"Ica, Peru","2021-04-01 04:27:05",44464,2434,0,4559.474979491386,5.474091399784095
"Junin, Peru","2021-04-01 04:27:05",50352,1736,0,3698.2739625413146,3.447727994915793
"La Libertad, Peru","2021-04-01 04:27:05",53637,3133,0,2659.510115033717,5.841117139288177
"Lambayeque, Peru","2021-04-01 04:27:05",42053,2249,0,3208.1934696368626,5.348013221411078
"Lima, Peru","2021-04-01 04:27:05",722513,22771,0,6797.883050289316,3.15163879404246
"Loreto, Peru","2021-04-01 04:27:05",35772,1318,0,3481.1210587777346,3.6844459353684447
"Madre de Dios, Peru","2021-04-01 04:27:05",11605,194,0,6677.2151898734155,1.6716932356742784
"Moquegua, Peru","2021-04-01 04:27:05",21704,488,0,11263.103269330566,2.2484334684850715
"Pasco, Peru","2021-04-01 04:27:05",10983,289,0,4039.352703199706,2.631339342620413
"Piura, Peru","2021-04-01 04:27:05",57548,2527,0,2809.9609375,4.391116980607493
"Puno, Peru","2021-04-01 04:27:05",25961,687,0,2097.011308562197,2.646277107969647
"San Martin, Peru","2021-04-01 04:27:05",33535,970,0,3727.7678968430414,2.892500372744893
"Tacna, Peru","2021-04-01 04:27:05",21895,668,0,5901.617250673855,3.050924868691482
